13:10:37- Function h5_to_wav, called by <module>, executed in 7.330s
13:10:37- Function get_onsets, called by <module>, executed in 0.000s
13:11:00- Function load_wm, called by load_data_new, executed in 22.171s
13:11:00- Function butter_bandpass, called by butter_bandpass_filter, executed in 0.003s
13:12:29- Function butter_bandpass_filter, called by load_data_new, executed in 1:29
13:12:56- Function truncate_audio_new, called by load_data_new, executed in 3.740s
13:12:56- Function load_data_new, called by <module>, executed in 2:18
13:13:36- Function get_spikes, called by <module>, executed in 39.847s
13:13:37- Function truncate_spikes, called by psth_channel, executed in 0.791s
13:13:38- Function truncate_spikes, called by psth_channel, executed in 0.790s
13:13:39- Function truncate_spikes, called by psth_channel, executed in 0.797s
13:13:40- Function truncate_spikes, called by psth_channel, executed in 0.811s
13:13:40- Function truncate_spikes, called by psth_channel, executed in 0.823s
13:13:41- Function truncate_spikes, called by psth_channel, executed in 0.767s
13:13:42- Function truncate_spikes, called by psth_channel, executed in 0.753s
13:13:43- Function truncate_spikes, called by psth_channel, executed in 0.720s
13:13:43- Function truncate_spikes, called by psth_channel, executed in 0.696s
13:13:44- Function truncate_spikes, called by psth_channel, executed in 0.747s
13:13:45- Function truncate_spikes, called by psth_channel, executed in 0.676s
13:13:46- Function truncate_spikes, called by psth_channel, executed in 0.662s
13:13:46- Function truncate_spikes, called by psth_channel, executed in 0.638s
13:13:47- Function truncate_spikes, called by psth_channel, executed in 0.640s
13:13:48- Function truncate_spikes, called by psth_channel, executed in 0.624s
13:13:48- Function truncate_spikes, called by psth_channel, executed in 0.622s
13:13:49- Function truncate_spikes, called by psth_channel, executed in 0.621s
13:13:49- Function truncate_spikes, called by psth_channel, executed in 0.593s
13:13:50- Function truncate_spikes, called by psth_channel, executed in 0.582s
13:13:51- Function truncate_spikes, called by psth_channel, executed in 0.557s
13:13:51- Function truncate_spikes, called by psth_channel, executed in 0.551s
13:13:52- Function truncate_spikes, called by psth_channel, executed in 0.507s
13:13:52- Function truncate_spikes, called by psth_channel, executed in 0.504s
13:13:53- Function truncate_spikes, called by psth_channel, executed in 0.522s
13:13:53- Function truncate_spikes, called by psth_channel, executed in 0.586s
13:13:54- Function truncate_spikes, called by psth_channel, executed in 0.522s
13:13:54- Function truncate_spikes, called by psth_channel, executed in 0.550s
13:13:55- Function truncate_spikes, called by psth_channel, executed in 0.517s
13:13:56- Function truncate_spikes, called by psth_channel, executed in 0.534s
13:13:56- Function truncate_spikes, called by psth_channel, executed in 0.473s
13:13:57- Function truncate_spikes, called by psth_channel, executed in 0.488s
13:13:57- Function truncate_spikes, called by psth_channel, executed in 0.490s
13:13:58- Function truncate_spikes, called by psth_channel, executed in 0.488s
13:13:58- Function truncate_spikes, called by psth_channel, executed in 0.505s
13:13:59- Function truncate_spikes, called by psth_channel, executed in 0.500s
13:13:59- Function truncate_spikes, called by psth_channel, executed in 0.499s
13:14:00- Function truncate_spikes, called by psth_channel, executed in 0.510s
13:14:00- Function truncate_spikes, called by psth_channel, executed in 0.519s
13:14:01- Function truncate_spikes, called by psth_channel, executed in 0.513s
13:17:39- Function psth_channel, called by <module>, executed in 4:03
13:17:40- Function truncate_spikes, called by <module>, executed in 0.805s
13:17:41- Function truncate_spikes, called by <module>, executed in 0.830s
13:17:42- Function truncate_spikes, called by <module>, executed in 0.840s
13:17:43- Function truncate_spikes, called by <module>, executed in 0.785s
13:17:44- Function truncate_spikes, called by <module>, executed in 0.801s
13:17:44- Function truncate_spikes, called by <module>, executed in 0.773s
13:17:45- Function truncate_spikes, called by <module>, executed in 0.840s
13:17:46- Function truncate_spikes, called by <module>, executed in 0.803s
13:17:47- Function truncate_spikes, called by <module>, executed in 0.727s
13:17:47- Function truncate_spikes, called by <module>, executed in 0.727s
13:17:48- Function truncate_spikes, called by <module>, executed in 0.688s
13:17:49- Function truncate_spikes, called by <module>, executed in 0.673s
13:17:50- Function truncate_spikes, called by <module>, executed in 0.674s
13:17:50- Function truncate_spikes, called by <module>, executed in 0.645s
13:17:51- Function truncate_spikes, called by <module>, executed in 0.630s
13:17:51- Function truncate_spikes, called by <module>, executed in 0.565s
13:17:52- Function truncate_spikes, called by <module>, executed in 0.559s
13:17:53- Function truncate_spikes, called by <module>, executed in 0.648s
13:17:53- Function truncate_spikes, called by <module>, executed in 0.645s
13:17:54- Function truncate_spikes, called by <module>, executed in 0.613s
13:17:55- Function truncate_spikes, called by <module>, executed in 0.611s
13:17:55- Function truncate_spikes, called by <module>, executed in 0.525s
13:17:56- Function truncate_spikes, called by <module>, executed in 0.516s
13:17:56- Function truncate_spikes, called by <module>, executed in 0.496s
13:17:57- Function truncate_spikes, called by <module>, executed in 0.517s
13:17:57- Function truncate_spikes, called by <module>, executed in 0.494s
13:17:58- Function truncate_spikes, called by <module>, executed in 0.501s
13:17:58- Function truncate_spikes, called by <module>, executed in 0.538s
13:17:59- Function truncate_spikes, called by <module>, executed in 0.478s
13:17:59- Function truncate_spikes, called by <module>, executed in 0.505s
13:18:00- Function truncate_spikes, called by <module>, executed in 0.471s
13:18:00- Function truncate_spikes, called by <module>, executed in 0.502s
13:18:01- Function truncate_spikes, called by <module>, executed in 0.509s
13:18:01- Function truncate_spikes, called by <module>, executed in 0.510s
13:18:02- Function truncate_spikes, called by <module>, executed in 0.479s
13:18:03- Function truncate_spikes, called by <module>, executed in 0.540s
13:18:03- Function truncate_spikes, called by <module>, executed in 0.465s
13:18:03- Function truncate_spikes, called by <module>, executed in 0.456s
13:18:04- Function truncate_spikes, called by <module>, executed in 0.523s
13:18:05- Function truncate_spikes, called by <module>, executed in 0.486s
